classe,imagem,mse,psnr,brisque
notumor,no-0653.jpg,3238.4517,13.0274,68.9127
notumor,no-0654.jpg,3322.2767,12.9164,51.7999
notumor,no-0655.jpg,5737.5423,10.5435,52.3775
notumor,no-0656.jpg,9695.824,8.265,30.1584
notumor,no-0657.jpg,9889.8589,8.1789,32.7874
notumor,no-0658.jpg,5847.0245,10.4615,14.5187
notumor,no-0659.jpg,2707.042,13.8059,39.5444
notumor,no-0660.jpg,5110.1958,11.0464,59.1128
notumor,no-0661.jpg,2370.2138,14.3829,31.7049
notumor,no-0662.jpg,3722.8084,12.4221,51.698
notumor,no-0663.jpg,10073.0125,8.0992,22.3778
notumor,no-0664.jpg,4674.9526,11.433,16.6563
notumor,no-0665.jpg,6610.1328,9.9287,49.6673
notumor,no-0666.jpg,6194.4958,10.2107,30.3666
notumor,no-0667.jpg,7473.1312,9.3958,44.5992
notumor,no-0668.jpg,6784.3982,9.8157,12.119
notumor,no-0669.jpg,5772.0995,10.5175,36.2684
notumor,no-0670.jpg,2310.7434,14.4933,30.5986
notumor,no-0671.jpg,6745.3448,9.8408,56.54
notumor,no-0672.jpg,7467.0031,9.3993,54.4382
notumor,no-0673.jpg,7745.1846,9.2405,40.0037
notumor,no-0674.jpg,9093.3869,8.5435,36.7178
notumor,no-0675.jpg,4567.4879,11.534,50.1718
notumor,no-0676.jpg,2652.492,13.8943,51.0205
notumor,no-0677.jpg,6467.5129,10.0234,36.0219
notumor,no-0678.jpg,2537.5157,14.0867,50.9325
notumor,no-0679.jpg,7086.928,9.6262,28.6269
notumor,no-0680.jpg,7284.7079,9.5067,27.3208
notumor,no-0681.jpg,9626.1438,8.2963,34.5888
notumor,no-0682.jpg,7734.702,9.2464,43.834
notumor,no-0683.jpg,2903.6602,13.5013,41.8216
notumor,no-0684.jpg,3409.0665,12.8044,46.0859
notumor,no-0685.jpg,4975.3631,11.1626,29.1045
notumor,no-0686.jpg,10866.8288,7.7698,22.5568
notumor,no-0687.jpg,6783.0444,9.8166,56.0325
notumor,no-0688.jpg,2852.5165,13.5785,56.7709
notumor,no-0689.jpg,1341.1704,16.856,36.6448
notumor,no-0690.jpg,4976.9063,11.1612,31.0767
notumor,no-0691.jpg,4015.1706,12.0938,56.8203
notumor,no-0692.jpg,12415.3432,7.1912,82.0663
notumor,no-0693.jpg,9991.1051,8.1347,28.7663
notumor,no-0694.jpg,2369.1543,14.3849,31.7924
notumor,no-0695.jpg,5285.0061,10.9003,12.1044
